sku_id,product_name,brand,category,sub_category,base_price,quality_score,price_tier,overpriced_flag,weak_listing_flag
耐克_0001,耐克轻氧速干T恤,耐克,运动户外,速干T恤,250.0,0.704,低价,True,False
耐克_0002,耐克新季运动背包,耐克,运动户外,运动背包,996.0,0.685,高价,False,False
耐克_0003,耐克云感运动裤,耐克,运动户外,运动裤,583.0,0.896,中价,False,False
耐克_0004,耐克复古速干T恤,耐克,运动户外,速干T恤,547.0,0.788,中价,False,False
耐克_0005,耐克科技感速干T恤,耐克,运动户外,速干T恤,362.0,0.611,低价,True,False
耐克_0006,耐克微风训练鞋,耐克,运动户外,训练鞋,600.0,0.855,中价,False,False
耐克_0007,耐克暖阳冲锋衣,耐克,运动户外,冲锋衣,306.0,0.686,低价,False,False
耐克_0008,耐克新季运动裤,耐克,运动户外,运动裤,464.0,0.438,低价,True,False
耐克_0009,耐克耐磨瑜伽服,耐克,运动户外,瑜伽服,810.0,0.469,中价,False,True
耐克_0010,耐克复古冲锋衣,耐克,运动户外,冲锋衣,220.0,0.584,低价,False,False
耐克_0011,耐克复古运动裤,耐克,运动户外,运动裤,434.0,0.545,低价,False,False
耐克_0012,耐克新季训练鞋,耐克,运动户外,训练鞋,235.0,0.428,低价,True,False
耐克_0013,耐克科技感泳装,耐克,运动户外,泳装,820.0,0.897,中价,False,True
耐克_0014,耐克轻氧运动背包,耐克,运动户外,运动背包,865.0,0.619,中价,False,False
耐克_0015,耐克防滑登山鞋,耐克,运动户外,登山鞋,235.0,0.516,低价,False,False
耐克_0016,耐克百搭羽绒服,耐克,运动户外,羽绒服,615.0,0.631,中价,True,False
耐克_0017,耐克经典登山鞋,耐克,运动户外,登山鞋,903.0,0.561,中价,False,False
耐克_0018,耐克极简羽绒服,耐克,运动户外,羽绒服,723.0,0.383,中价,True,False
耐克_0019,耐克透气速干T恤,耐克,运动户外,速干T恤,1007.0,0.572,高价,False,False
耐克_0020,耐克光感速干T恤,耐克,运动户外,速干T恤,735.0,0.821,中价,True,False
耐克_0021,耐克耐磨羽绒服,耐克,运动户外,羽绒服,535.0,0.606,中价,False,False
耐克_0022,耐克微风运动背包,耐克,运动户外,运动背包,967.0,0.437,高价,False,True
耐克_0023,耐克复古泳装,耐克,运动户外,泳装,622.0,0.856,中价,True,False
耐克_0024,耐克透气速干T恤,耐克,运动户外,速干T恤,874.0,0.558,中价,False,False
耐克_0025,耐克复古速干T恤,耐克,运动户外,速干T恤,533.0,0.522,中价,True,False
